47106624,8006 , 500 , -26,9971999973059 , 0,00199999930538769 , 7,99999722154994E-10 , 0,000347306157166862 , -0,000399999861077537 , -0,000399999861077537 , 0,19999999984 , 86,6265694127839 , -2,23790022254745E-08 , -18,520445823439
47106640,4177 , 1000 , -16,4032000005245 , 0,000694150786399312 , -0,000200097233347601 , 0,00010650100585121 , -0,000330584878759679 , -0,000330584878759679 , 0,299979990144431 , 152,950083832902 , -0,00752191361244011 , -35,8417376551735
47106671,671 , 2000 , -1,36169999837875 , 0,000295949949448957 , -0,000363466907201909 , 4,35609486435202E-05 , -0,000253285780308485 , -0,000253285780308485 , 0,399885056307491 , 293,524670872479 , -0,0273114828753282 , -84,839672584971
47106718,5714 , 4000 , 14,8884999975562 , 0,000149106122559982 , -0,000439850107481947 , 1,76179388725932E-05 , -0,000176755860374662 , -0,000176755860374662 , 0,499659299692467 , 471,442744423322 , -0,0546101487579233 , -394,80735405544
47106756,4205 , 2000 , 5,82760000228882 , 6,68779645884093E-05 , 0,000469542711697845 , 1,52733427850872E-05 , -0,000193217709442744 , -0,000193217709442744 , 0,599543722890772 , 453,863511659447 , -0,0494696083353424 , -555,33872484821
47106787,4417 , -2000 , -1,95120000094175 , -6,20697766967285E-05 , 0,00219278647876414 , 1,3365411438887E-05 , -0,000125811226615387 , -0,000125811226615387 , 0,697162402512465 , 432,684561370507 , -0,0615368105561382 , -685,342532639435
47106815,9623 , -4000 , -3,48589999973774 , -8,49265877925047E-05 , 0,00206089889969581 , 8,81447759827909E-06 , -1,53720711237908E-05 , -1,53720711237908E-05 , 0,794482394520244 , 415,338510366399 , -0,0806225082256811 , -1486,69906429138
47106846,484 , -2000 , -1,51729999482632 , -4,09221690957271E-05 , 0,00214583684873304 , 8,09252526981684E-06 , 2,24902056656762E-05 , 2,24902056656762E-05 , 0,892497009324222 , 394,958544258975 , -0,0865920968382486 , -1789,58721748286
47106877,506 , -1000 , -1,0207000002265 , -2,09961727548021E-05 , 0,00252367900426093 , 7,92318331985534E-06 , 4,28566360886244E-05 , 4,28566360886244E-05 , 0,990049023519839 , 375,322053966449 , -0,0903596870796677 , -1895,93955574898
47106910,0295 , -500 , -0,0933000072836876 , -1,08980006447483E-05 , 0,00297179586693806 , 7,88057639813891E-06 , 5,4502465225888E-05 , 5,4502465225888E-05 , 1,08687330092398 , 356,559506694113 , -0,0911521515379044 , -1906,44358917271
47106948,0587 , 500 , 6,00830000638962 , 1,16140348386116E-05 , 0,00352977397995879 , 7,83428017948908E-06 , 4,0401580594977E-05 , 4,0401580594977E-05 , 1,18258771573707 , 340,755105812357 , -0,0686967156777997 , -2219,00885153841
47106976,0525 , 1000 , -4,03440000116825 , 2,36102097783704E-05 , 0,00396659307807979 , 7,64845493017461E-06 , 9,1655257740386E-06 , 9,1655257740386E-06 , 1,27733995555187 , 324,335129921797 , -0,0826394951647841 , -1873,91281542472
47107009,7721 , 2000 , 1,49399999529123 , 4,4955504479572E-05 , 0,00409917452998224 , 6,96045359848818E-06 , -5,35775684376519E-05 , -5,35775684376519E-05 , 1,37161885650733 , 308,467890396828 , -0,0718015851325886 , -2410,89469405062
47107044,9651 , 4000 , 3,17450000345707 , 6,83339148578435E-05 , 0,00309179677231401 , 5,0616472556379E-06 , -0,000139494386081786 , -0,000139494386081786 , 1,46773151388936 , 294,247661330381 , -0,056634971823947 , -12566,5901601364
47107079,112 , 2000 , 2,10239999741316 , 3,31627456996289E-05 , 0,00428067380610779 , 4,73065039842103E-06 , -0,000182232633897881 , -0,000182232633897881 , 1,56221482659204 , 279,803977842764 , -0,0467115688912039 , -370558,264766088
47107111,0949 , -2000 , -0,569899998605251 , -3,35852537141512E-05 , 0,00705811350513571 , 4,40686316439799E-06 , -0,000114166068730446 , -0,000114166068730446 , 1,64791028844726 , 265,827749092294 , -0,0504423866997274 , 66427,2909736847
47107138,5606 , -4000 , -4,5485999956727 , -5,4307795125745E-05 , 0,00674813760337472 , 3,44343324629174E-06 , 5,5595149964284E-06 , 5,55951499642836E-06 , 1,73303351593674 , 253,521127828731 , -0,0803902259055393 , 3905,19947616413
